"Device";"#ospf";"#bgp";"#mac";"#arp"
"sbron-ncc-4";;;"262";"8"
"sbron-ncc-5";;;"262";"8"
"flyo-save-pfs-d";;;"14";"3"
"flyo-save-pfs-g";;;"14";"3"
"scgtl-mg-g";;;"28";"2"
"sdmz-mg-e1";;;"53";"2"
"sdmz-mg-e2";;;"53";"2"
"scbv-lt2-1";;;"53";"4"
"sdmz-mg-e3";;;"52";"3"
"sdmz-mg-e4";;;"53";"6"
"fw-aol1";;;"8";"13"
"a8rxlyo002lc7301";;"1";"4";"10"
"rfed-fe-g";;"1";"26";"15"
"scbv-savad1-1";;;"52";"5"
"rfed-fe-d";;"1";"27";"19"
"scbv-bg0-2";;;"52";"8"
"scbv-bg0-1";;;"52";"8"
"flyo-prodg";;;"2";"82"
"flyo-prodd";;;"2";"82"
"scbv-gd0-1";;;"52";"6"
"slyo-prep-e3-be";;;"22";"2"
"sren-spoke-be";;;"106";"6"
"s1c01-save-core-g";;;"54";"4"
"spsi-bk-j1";;;"52";"5"
"slyo-h2-be-1";;;"21";"2"
"spsi-bk-j2";;;"52";"2"
"fw-aol2";;;"8";"10"
"sabv-spoke-god-be";;;"27";"3"
"rqw-cored";"1";;"157";"2566"
"rqw-coreg";"1";;"157";"2562"
"lyn-68";;;"52";"4"
"salpes-bur-adm-e-2";;;"107";"5"
"lyn-69";;;"26";"3"
"lyn-62";;;"54";"4"
"lyn-63";;;"26";"3"
"salpes-bur-adm-e-1";;;"107";"5"
"lyn-65";;;"52";"3"
"salpes-bur-3-ed2-sav-1";;;"29";"8"
"lyn-60";;;"54";"3"
"lyn-61";;;"54";"5"
"c29-ldcom-massy";;;"9";"9"
"scbv-savcd0-1";;;"52";"6"
"svnx-spoke-o5-mg-2";;;"21";"2"
"svnx-spoke-o5-mg-1";;;"21";"2"
"slyo-h1-fe-1";;;"21";"2"
"spar-spoke-be";;;"108";"5"
"sqw-wi-rdj";;;"28";"4"
"s33vil-bur-ltp2-2";;;"107";"4"
"s33vil-bur-ltp2-1";;;"107";"4"
"fzac-asabib";;;"9";"16"
"lyn-70";;;"52";"4"
"rpar-spoke-1";;;"5";"33"
"rpar-spoke-2";;;"5";"32"
"flyo-psie-int";;;"5";"206"
"f9tv-be-d1-2";;;"7";"7"
"f9tv-be-d1-1";;;"7";"11"
"slyo-fed-prep-be-mg-5";;;"59";"2"
"salpes-bur-2-ed3-sav-1";;;"28";"4"
"rcbv-aol-vpn-1";;"1";"2";"6"
"rbdx-spoke-2";;;"5";"29"
"sman-dsp";;;"13";"2"
"a8rxlyo001lc7301";;"1";"4";"11"
"ralpes-bur-ad3";"1";;"96";"199"
"rbdx-spoke-1";;;"5";"30"
"slyo-h2-nfs-be-1";;;"21";"2"
"fcbv-sav-ccord-g";;;"16";"11"
"slbm-adm-z85-1";;;"54";"49"
"slyo-arthius-fe-1";;;"22";"2"
"slyo-arthius-fe-2";;;"22";"2"
"fcbv-sav-ccord-d";;;"16";"11"
"slbm-prod-y80-1";;;"54";"11"
"sqo-5-1";;;"314";"8"
"schd-spoke-tyson3-me";;;"21";"3"
"schd-spoke-tyson3-mg";;;"21";"2"
"svnx-spoke-q5-be-1";;;"21";"5"
"slyo-fed-mg-rx-3-2";;;"108";"4"
"slyo-fed-mg-rx-3-1";;;"108";"4"
"fw-ac1";;;"8";"8"
"marse1-cr-sw26-2";;;"54";"4"
"marse1-cr-sw26-1";;;"54";"4"
"s33vil-bur-lts2-1";;;"159";"4"
"s33vil-bur-lts2-2";;;"159";"4"
"fw-ac2";;;"8";"4"
"salpes-bur-3-ed2-1";;;"28";"4"
